url,label,local_score,local_classification,external_listed,external_source,final_classification
https://mit.edu/,legitimate,0,safe,false,Phishing.Database,safe
https://springer.com/,legitimate,0,safe,false,Phishing.Database,safe
https://bbc.co.uk/,legitimate,0,safe,false,Phishing.Database,safe
https://php.net/,legitimate,0,safe,false,Phishing.Database,safe
https://ibm.com/,legitimate,0,safe,false,Phishing.Database,safe
https://bing.com/,legitimate,0,safe,false,Phishing.Database,safe
https://wikimedia.org/,legitimate,0,safe,false,Phishing.Database,safe
https://weibo.com/,legitimate,0,safe,false,Phishing.Database,safe
https://example.com/,legitimate,0,safe,false,Phishing.Database,safe
https://harvard.edu/,legitimate,0,safe,false,Phishing.Database,safe
https://discord.gg/,legitimate,0,safe,false,Phishing.Database,safe
https://wiley.com/,legitimate,0,safe,false,Phishing.Database,safe
https://gnu.org/,legitimate,0,safe,false,Phishing.Database,safe
https://cookiedatabase.org/,legitimate,0,safe,false,Phishing.Database,safe
https://debian.org/,legitimate,0,safe,false,Phishing.Database,safe
https://pubmed.ncbi.nlm.nih.gov/,legitimate,15,safe,false,Phishing.Database,safe
https://cdc.gov/,legitimate,0,safe,false,Phishing.Database,safe
https://un.org/,legitimate,0,safe,false,Phishing.Database,safe
https://discord.com/,legitimate,0,safe,false,Phishing.Database,safe
https://linktr.ee/,legitimate,0,safe,false,Phishing.Database,safe
https://issuu.com/,legitimate,0,safe,false,Phishing.Database,safe
https://mp.weixin.qq.com/,legitimate,0,safe,false,Phishing.Database,safe
https://plesk.com/,legitimate,0,safe,false,Phishing.Database,safe
https://imdb.com/,legitimate,0,safe,false,Phishing.Database,safe
https://weebly.com/,legitimate,0,safe,false,Phishing.Database,safe
https://expireddomains.com/,legitimate,0,safe,false,Phishing.Database,safe
https://stanford.edu/,legitimate,0,safe,false,Phishing.Database,safe
https://beian.gov.cn/,legitimate,0,safe,false,Phishing.Database,safe
https://wpa.qq.com/,legitimate,0,safe,false,Phishing.Database,safe
https://dropcatch.com/,legitimate,0,safe,false,Phishing.Database,safe
https://outlook.com/,legitimate,0,safe,false,Phishing.Database,safe
https://openai.com/,legitimate,0,safe,false,Phishing.Database,safe
https://bloomberg.com/,legitimate,0,safe,false,Phishing.Database,safe
https://www.gov.uk/,legitimate,0,safe,false,Phishing.Database,safe
https://washingtonpost.com/,legitimate,0,safe,false,Phishing.Database,safe
