"url","label","local_score","local_classification","external_listed","external_source","final_classification"
"https://www.konto.evergreenfin.ltd/","phishing","0","safe","false","Phishing.Database","safe"
"https://cu.arrowbases.com/var/index.php","phishing","0","safe","false","Phishing.Database","safe"
"https://u.to/nmewIg","phishing","10","safe","false","Phishing.Database","safe"
"https://acselwk.cfd/ACS_sjahzEN.html/","phishing","0","safe","false","Phishing.Database","safe"
"https://acswlzis.cfd/ACS_sjahzEN.html/","phishing","0","safe","false","Phishing.Database","safe"
"https://acswlzis.cfd/index.html/","phishing","0","safe","false","Phishing.Database","safe"
"https://surl.li/xxzwte","phishing","10","safe","false","Phishing.Database","safe"
"https://mirovo-app.vercel.app/","phishing","0","safe","false","Phishing.Database","safe"
"https://queensatlanta.org/awo/mnx/","phishing","0","safe","false","Phishing.Database","safe"
"https://vlig-spon-fruk-843-zrat-krostor-vif-690.pages.dev/","phishing","10","safe","false","Phishing.Database","safe"
"https://1url.at/www/roblox-users-358617650035-profile","phishing","10","safe","false","Phishing.Database","safe"
"https://ageniloggus.gitbook.io/","phishing","0","safe","false","Phishing.Database","safe"
"https://adsmarketting-bluetick-request-it-i.vercel.app/","phishing","5","safe","false","Phishing.Database","safe"
"https://adsmarketting-bluetick-request-it-i.vercel.app/privacy-centers.html","phishing","5","safe","false","Phishing.Database","safe"
"https://nhnarticles.cafe/","phishing","0","safe","false","Phishing.Database","safe"
"https://qavzuri-mpt-farvani-r7d2ka86.pages.dev/","phishing","10","safe","false","Phishing.Database","safe"
"https://vference.spahotel.guru/","phishing","0","safe","false","Phishing.Database","safe"
"https://newpage.click/?naps","phishing","0","safe","false","Phishing.Database","safe"
"https://emspro.co.za/jayupdate/dmlkorea.html","phishing","0","safe","false","Phishing.Database","safe"
"https://proxy-test-001.pages.dev/content/dam/edam/applecare/images/en_US","phishing","5","safe","false","Phishing.Database","safe"
"https://server-security-landing-page--docu-sign.replit.app/...","phishing","5","safe","false","Phishing.Database","safe"
"https://68777.click/194574184","phishing","5","safe","false","Phishing.Database","safe"
"https://rbcode.net/v/d7b82c3706a817f4097477f8a8eed71d","phishing","0","safe","false","Phishing.Database","safe"
"https://coderlog-two.vercel.app/","phishing","0","safe","false","Phishing.Database","safe"
"https://badge-de-200926.vercel.app/live1","phishing","10","safe","false","Phishing.Database","safe"
"https://badge-de-200926.vercel.app/live","phishing","10","safe","false","Phishing.Database","safe"
"https://acselwk.cfd/index.html","phishing","0","safe","false","Phishing.Database","safe"
"https://norzavo-mpt-belfuni-a5d1ka96.pages.dev/","phishing","10","safe","false","Phishing.Database","safe"
"https://acswlewa.cfd/index.html","phishing","0","safe","false","Phishing.Database","safe"
"https://www.allegrosellers.cc/","phishing","0","safe","false","Phishing.Database","safe"
"https://acsrozj.cfd/ACS_sjahzEN","phishing","0","safe","false","Phishing.Database","safe"
"https://acsrozj.cfd/ACS_sjahzEN.html","phishing","0","safe","false","Phishing.Database","safe"
"https://hassnain0607.github.io/Assignment/","phishing","5","safe","false","Phishing.Database","safe"
"https://ap7856971-web.github.io/Netflix-Clone/","phishing","5","safe","false","Phishing.Database","safe"
"https://936578.xyz/","phishing","5","safe","false","Phishing.Database","safe"
"https://xxwh.airbnbvip.com/","phishing","0","safe","false","Phishing.Database","safe"
"https://mgstyd-rblx.blogspot.com/?sub=L1K3RR","phishing","0","safe","false","Phishing.Database","safe"
"https://ams1.vultrobjects.com/scape/index.html","phishing","0","safe","false","Phishing.Database","safe"
